ID,Eponym,Derived From / Source,Who/What,Historical / Mythological Rationale,Meaning,Category,Type,Action,Source Batch,Record Status
190,Chimera,Chimera,Fire-breathing monster,"Composite creature with lion, goat, and serpent parts.",Impossible dream or hybrid,Greek Mythology,Original entry,Review,Original master,Existing
191,Cerberus,Cerberus,Three-headed hound,Guarded the entrance to the Underworld to prevent escape.,Fierce guardian,Greek Mythology,Original entry,Review,Original master,Existing
192,Janus-faced,Janus,Roman god of beginnings,Depicted with two faces looking to the past and future simultaneously.,Two-faced; having dual aspects,Roman Mythology,Original entry,Review,Original master,Existing
193,Vulcanize,Vulcan,Roman god of fire,Charles Goodyear named the rubber-hardening process after the god associated with fire and metalworking.,Strengthen rubber with sulfur and heat,Engineering,Original entry,Review,Original master,Existing
194,Mercury,Mercury,Roman messenger god,Fast-moving planet named after the swift deity; the element inherited the classical name.,Planet or chemical element,Roman Mythology,Original entry,Review,Original master,Existing
195,Martial,Mars,Roman god of war,"Derived from Mars, representing warfare and soldiers.",Relating to war or the military,Roman Mythology,Original entry,Review,Original master,Existing
196,Jovial,Jupiter (Jove),King of the Roman gods,Medieval astrology associated Jupiter with optimism and cheerful temperament.,Cheerful and good-humored,Roman Mythology,Original entry,Review,Original master,Existing
197,Venereal,Venus,Roman goddess of love,Historically associated with love and sexuality.,Relating to sexual transmission,Roman Mythology,Original entry,Review,Original master,Existing
198,Panic,Pan,Greek god of shepherds,His sudden terrifying cries were believed to cause irrational fear in travelers.,Sudden overwhelming fear,Greek Mythology,Original entry,Review,Original master,Existing
199,Echo,Echo,Mountain nymph,Cursed to repeat only the last words spoken to her after distracting Hera.,Reflected sound,Greek Mythology,Original entry,Review,Original master,Existing
200,Iris,Iris,Goddess of the rainbow,Messenger of the gods whose rainbow linked heaven and earth.,Flower; colored part of the eye,Greek Mythology,Original entry,Review,Original master,Existing
201,Flora,Flora,Roman goddess of flowers,Goddess of springtime and blossoms.,Plant life of a region,Roman Mythology,Original entry,Review,Original master,Existing
202,Fauna,Faunus,Roman god of forests,Originally referring to animals associated with Faunus.,Animal life of a region,Roman Mythology,Original entry,Review,Original master,Existing
203,Hymen,Hymen,Greek god of marriage,Associated with weddings and the marriage ceremony.,Membrane at vaginal opening; marriage deity,Greek Mythology,Original entry,Review,Original master,Existing
204,Hymeneal,Hymen,Greek god of marriage,Wedding songs invoked Hymen for blessings.,Relating to marriage,Greek Mythology,Original entry,Review,Original master,Existing
205,Cupid,Cupid (Eros),God of love,Depicted shooting arrows that inspired love.,Symbol of romantic love,Roman Mythology,Original entry,Review,Original master,Existing
206,Erebus,Erebus,Primordial deity,Personification of darkness in Greek cosmology.,Complete darkness,Greek Mythology,Original entry,Review,Original master,Existing
207,Morpheus,Morpheus,God of dreams,Brought dreams to sleeping mortals by taking human forms.,"Associated with dreams; source of ""morphine""",Greek Mythology,Original entry,Review,Original master,Existing
208,Morphine,Morpheus,God of dreams,The narcotic induces sleep and dream-like states.,Powerful opioid analgesic,Medicine,Original entry,Review,Original master,Existing
209,Hypnosis,Hypnos,Greek god of sleep,Named after the deity representing sleep.,Artificially induced trance,Psychology,Original entry,Review,Original master,Existing
210,Thanatology,Thanatos,Greek personification of death,Named after the god of peaceful death.,Scientific study of death,Medicine,Original entry,Review,Original master,Existing
211,Hebephrenia,Hebe,Goddess of youth,Early psychiatric term derived from the youthful goddess.,Historical psychiatric diagnosis,Medicine,Original entry,Review,Original master,Existing
212,Mnemonic,Mnemosyne,Goddess of memory,Mother of the Muses and embodiment of memory.,Memory aid,Education,Original entry,Review,Original master,Existing
213,Museum,Muses,Nine daughters of Mnemosyne,Ancient institutions dedicated to the Muses became centers of learning.,Institution preserving knowledge and art,Culture,Original entry,Review,Original master,Existing
214,Music,Muses,Patron goddesses of the arts,Originally referred to arts inspired by the Muses.,Art of organized sound,Arts,Original entry,Review,Original master,Existing
215,Hygiene,Hygieia,Goddess of health,Daughter of Asclepius associated with cleanliness and prevention of disease.,Cleanliness promoting health,Medicine,Original entry,Review,Original master,Existing
216,Asclepiad,Asclepius,Greek god of medicine,Ancient physicians claimed descent from Asclepius.,Physician (historical usage),Medicine,Original entry,Review,Original master,Existing
217,Esculapian,Aesculapius,Roman equivalent of Asclepius,Used to describe doctors or medicine.,Medical; physician-related,Medicine,Original entry,Review,Original master,Existing
218,Hermaphrodite,Hermaphroditus,Child of Hermes and Aphrodite,Merged with the nymph Salmacis into one body possessing both sexes.,Individual with both male and female sexual characteristics (historical term),Greek Mythology,Original entry,Review,Original master,Existing
219,Hermetic,Hermes Trismegistus,Legendary sage,Secret writings attributed to him gave rise to the idea of being tightly sealed or esoteric.,Airtight; esoteric,Philosophy,Original entry,Review,Original master,Existing
220,Atlas Vertebra,Atlas,Titan,First cervical vertebra supports the skull just as Atlas supported the heavens.,First cervical vertebra,Anatomy,Original entry,Review,Original master,Existing
221,Achilles Tendon,Achilles,Greek hero,Tendon attached to the heel associated with Achilles' only vulnerable point.,Largest tendon in the body,Anatomy,Original entry,Review,Original master,Existing
222,Caesarian (historical adjective),Julius Caesar,Roman leader,"Describes matters relating to Caesar or imperial authority; distinct from the debated origin of ""Caesarean section.""",Relating to Caesar,History,Original entry,Review,Original master,Existing
223,August,Augustus Caesar,First Roman Emperor,Month renamed in his honor by the Roman Senate in 8 BC.,Eighth month of the year,Roman History,Original entry,Review,Original master,Existing
224,July,Julius Caesar,Roman dictator,Month renamed to honor his calendar reforms and political legacy.,Seventh month of the year,Roman History,Original entry,Review,Original master,Existing
225,Nicotism,Jean Nicot,French diplomat,Historical term referring to nicotine poisoning or dependence.,Nicotine intoxication (historical),Medicine,Original entry,Review,Original master,Existing
226,Orwellian,George Orwell,English novelist,"Inspired by *Nineteen Eighty-Four*, depicting surveillance, propaganda, and authoritarian control.",Oppressively authoritarian,Literature,Original entry,Review,Original master,Existing
227,Darwinism,Charles Darwin,English naturalist,Based on Darwin's theory of evolution by natural selection published in *On the Origin of Species* (1859).,Theory of biological evolution,Biology,Original entry,Review,Original master,Existing
228,Darwinian,Charles Darwin,Naturalist,Describes processes involving natural selection and adaptation.,Relating to evolution or competitive selection,Biology,Original entry,Review,Original master,Existing
229,Mendelian,Gregor Mendel,Austrian monk,Father of genetics whose pea plant experiments established inheritance laws.,Relating to classical genetics,Biology,Original entry,Review,Original master,Existing
230,Lamarckism,Jean-Baptiste Lamarck,French biologist,Early evolutionary theory proposing inheritance of acquired characteristics.,Historical evolutionary theory,Biology,Original entry,Review,Original master,Existing
231,Pasteurian,Louis Pasteur,French chemist,Refers to principles or methods associated with Pasteur's work.,Relating to microbiology,Biology,Original entry,Review,Original master,Existing
232,Kochian,Robert Koch,German microbiologist,Pertaining to Koch's work on bacteriology.,Relating to bacteriology,Biology,Original entry,Review,Original master,Existing
233,Mendelism,Gregor Mendel,Geneticist,Classical inheritance principles.,Genetics,Biology,Original entry,Review,Original master,Existing
234,Linnaean,Carl Linnaeus,Swedish botanist,Creator of binomial nomenclature.,Relating to biological classification,Taxonomy,Original entry,Review,Original master,Existing
235,Cuvierian,Georges Cuvier,French naturalist,Founder of comparative anatomy and paleontology.,Relating to comparative anatomy,Biology,Original entry,Review,Original master,Existing
236,Buffonian,Comte de Buffon,French naturalist,Early theorist on Earth's natural history.,Relating to natural history,Biology,Original entry,Review,Original master,Existing
237,Freudian,Sigmund Freud,Austrian neurologist,Based on Freud's theories of the unconscious mind.,Relating to psychoanalysis,Psychology,Original entry,Review,Original master,Existing
238,Jungian,Carl Gustav Jung,Swiss psychiatrist,Based on archetypes and the collective unconscious.,Relating to Jung's psychology,Psychology,Original entry,Review,Original master,Existing
239,Adlerian,Alfred Adler,Austrian psychologist,"Focuses on inferiority, social interest, and striving.",Adler's school of psychology,Psychology,Original entry,Review,Original master,Existing
240,Pavlovian,Ivan Pavlov,Russian physiologist,Classical conditioning demonstrated through experiments with dogs.,Automatic conditioned response,Psychology,Original entry,Review,Original master,Existing
241,Skinnerian,B. F. Skinner,American psychologist,Developed operant conditioning and behaviorism.,Relating to reinforcement learning,Psychology,Original entry,Review,Original master,Existing
242,Piagetian,Jean Piaget,Swiss psychologist,Theory of cognitive development in children.,Relating to developmental psychology,Psychology,Original entry,Review,Original master,Existing
243,Maslowian,Abraham Maslow,American psychologist,Hierarchy of needs culminating in self-actualization.,Relating to human motivation,Psychology,Original entry,Review,Original master,Existing
244,Cartesian,René Descartes,French philosopher,"""Cogito, ergo sum""; Cartesian coordinates and dualism.",Relating to Descartes,Philosophy,Original entry,Review,Original master,Existing
245,Platonic,Plato,Greek philosopher,Associated with ideal forms; also describes non-romantic affection.,Ideal or non-romantic,Philosophy,Original entry,Review,Original master,Existing
246,Aristotelian,Aristotle,Greek philosopher,Based on Aristotle's philosophy and logic.,Classical philosophical approach,Philosophy,Original entry,Review,Original master,Existing
247,Socratic,Socrates,Greek philosopher,Method of questioning to stimulate critical thinking.,Using guided questioning,Philosophy,Original entry,Review,Original master,Existing
248,Epicurean,Epicurus,Greek philosopher,"Advocated rational pleasure and freedom from fear, later popularly associated with refined enjoyment.",Lover of fine food and pleasure,Philosophy,Original entry,Review,Original master,Existing
249,Stoic,Zeno of Citium / Stoics,Greek philosophy,"Emphasized self-control, resilience, and acceptance.",Enduring hardship without complaint,Philosophy,Original entry,Review,Original master,Existing
250,Cynic,Diogenes / Cynics,Greek philosophy,Rejected social conventions and material possessions.,Distrustful or skeptical,Philosophy,Original entry,Review,Original master,Existing
251,Diogenes Syndrome,Diogenes (attributed),Greek philosopher,Modern medical term referring to severe self-neglect and hoarding; the association with Diogenes is debated.,Self-neglect disorder,Medicine,Original entry,Review,Original master,Existing
252,Euclidean,Euclid,Greek mathematician,Father of geometry.,Relating to classical geometry,Mathematics,Original entry,Review,Original master,Existing
253,Pythagorean,Pythagoras,Greek mathematician,Famous for the theorem bearing his name.,Relating to right triangles,Mathematics,Original entry,Review,Original master,Existing
254,Archimedean,Archimedes,Greek mathematician,"Discoveries in geometry, mechanics, and buoyancy.",Relating to Archimedes' principles,Mathematics,Original entry,Review,Original master,Existing
255,Gaussian,Carl Friedrich Gauss,German mathematician,Normal distribution and Gaussian elimination.,Normally distributed; relating to Gauss,Mathematics,Original entry,Review,Original master,Existing
256,Boolean,George Boole,English mathematician,"Developed Boolean algebra, foundation of digital logic.",Binary logic,Computing,Original entry,Review,Original master,Existing
257,Turing Machine,Alan Turing,British mathematician,Abstract computing model underpinning computer science.,Theoretical computing device,Computing,Original entry,Review,Original master,Existing
258,Turing Test,Alan Turing,Computer scientist,Proposed a test of machine intelligence.,AI benchmark,Computing,Original entry,Review,Original master,Existing
259,Von Neumann Architecture,John von Neumann,Hungarian-American mathematician,Stored-program computer architecture.,Computer architecture,Computing,Original entry,Review,Original master,Existing
260,Fibonacci,Leonardo Fibonacci,Italian mathematician,Introduced Hindu-Arabic numerals to Europe; famous sequence named after him.,Number sequence,Mathematics,Original entry,Review,Original master,Existing
261,Euclid Algorithm,Euclid,Greek mathematician,Method for finding the greatest common divisor.,GCD algorithm,Mathematics,Original entry,Review,Original master,Existing
262,Möbius Strip,August Ferdinand Möbius,German mathematician,One-sided surface discovered in 1858.,Non-orientable surface,Mathematics,Original entry,Review,Original master,Existing
263,Klein Bottle,Felix Klein,German mathematician,Closed non-orientable surface.,Topological object,Mathematics,Original entry,Review,Original master,Existing
264,Banach Space,Stefan Banach,Polish mathematician,Fundamental concept in functional analysis.,Complete normed vector space,Mathematics,Original entry,Review,Original master,Existing
265,Riemannian Geometry,Bernhard Riemann,German mathematician,Generalized geometry underlying Einstein's relativity.,Curved-space geometry,Mathematics,Original entry,Review,Original master,Existing
266,Eulerian,Leonhard Euler,Swiss mathematician,Major contributions across mathematics and mechanics.,Relating to Euler,Mathematics,Original entry,Review,Original master,Existing
267,Laplacian,Pierre-Simon Laplace,French mathematician,Differential operator central to physics.,Mathematical operator,Mathematics,Original entry,Review,Original master,Existing
268,Fourier Series,Joseph Fourier,French mathematician,Represented periodic functions as sums of sine and cosine waves.,Mathematical decomposition,Mathematics,Original entry,Review,Original master,Existing
269,Bernoulli Principle,Daniel Bernoulli,Swiss mathematician,Relationship between fluid speed and pressure.,Fluid dynamics principle,Physics,Original entry,Review,Original master,Existing
270,Bayes' Theorem,Thomas Bayes,English statistician,Foundation of Bayesian probability.,Probability theorem,Statistics,Original entry,Review,Original master,Existing
271,Pareto Principle,Vilfredo Pareto,Italian economist,Observed that roughly 80% of outcomes often arise from 20% of causes.,80/20 rule,Economics,Original entry,Review,Original master,Existing
272,Nash Equilibrium,John Nash,American mathematician,Stable outcome in game theory where no player benefits from changing strategy alone.,Game theory equilibrium,Economics,Original entry,Review,Original master,Existing
273,Keynesian,John Maynard Keynes,British economist,Advocated government intervention to stabilize economies.,Demand-side economics,Economics,Original entry,Review,Original master,Existing
274,Ricardian,David Ricardo,British economist,Comparative advantage in international trade.,Economic theory,Economics,Original entry,Review,Original master,Existing
275,Malthusian,Thomas Malthus,English economist,Predicted population growth would outstrip food supply.,Population pressure theory,Economics,Original entry,Review,Original master,Existing
276,Marxian,Karl Marx,German philosopher,Pertaining specifically to Marx's original economic and philosophical writings.,Relating to Marx's work,Economics,Original entry,Review,Original master,Existing
277,Marxist,Karl Marx,German philosopher,Political and economic ideology derived from Marx's theories.,Marxist ideology,Politics,Original entry,Review,Original master,Existing
278,Leninism,Vladimir Lenin,Russian revolutionary,"Adapted Marxism to the conditions of the Russian Revolution, emphasizing a disciplined vanguard party.",Communist political ideology,Politics,Original entry,Review,Original master,Existing
279,Stalinism,Joseph Stalin,Soviet leader,"Characterized by centralized authority, forced collectivization, and extensive state control.",Authoritarian communist doctrine,Politics,Original entry,Review,Original master,Existing
280,Maoism,Mao Zedong,Chinese revolutionary,Adapted Marxism-Leninism with emphasis on the peasantry and prolonged revolutionary struggle.,Mao's political ideology,Politics,Original entry,Review,Original master,Existing
281,Trotskyism,Leon Trotsky,Russian revolutionary,"Advocated ""permanent revolution"" and opposed Stalin's policies.",Marxist political doctrine,Politics,Original entry,Review,Original master,Existing
282,Gandhian,Mahatma Gandhi,Indian independence leader,"Based on satyagraha, nonviolence, and civil disobedience.",Relating to Gandhi's philosophy,Politics,Original entry,Review,Original master,Existing
283,Thatcherism,Margaret Thatcher,British Prime Minister,"Associated with privatization, deregulation, and free-market reforms.",Conservative economic policy,Politics,Original entry,Review,Original master,Existing
284,Reaganomics,Ronald Reagan,U.S. President,Popular term for supply-side economics pursued during the 1980s.,Supply-side economic policy,Economics,Original entry,Review,Original master,Existing
285,Bonapartism,Napoleon Bonaparte,French emperor,Strong centralized rule justified through popular support and military prestige.,Authoritarian populism,Politics,Original entry,Review,Original master,Existing
286,Bismarckian,Otto von Bismarck,German chancellor,"Associated with Realpolitik, German unification, and the modern welfare state.",Pragmatic statecraft,Politics,Original entry,Review,Original master,Existing
287,Kafkaesque,Franz Kafka,Czech writer,His fiction portrays bewildering bureaucracy and existential anxiety.,Surreally bureaucratic or oppressive,Literature,Original entry,Review,Original master,Existing
288,Dickensian,Charles Dickens,English novelist,"Evokes grim poverty, child labor, and Victorian urban hardship.","Harsh, impoverished conditions",Literature,Original entry,Review,Original master,Existing
289,Shakespearean,William Shakespeare,English playwright,"Characteristic of Shakespeare's language, drama, or themes.",Dramatic; poetic,Literature,Original entry,Review,Original master,Existing
290,Homeric,Homer,Ancient Greek poet,Refers to the style or epic grandeur of the *Iliad* and *Odyssey*.,Epic in scale,Literature,Original entry,Review,Original master,Existing
291,Miltonic,John Milton,English poet,Style associated with *Paradise Lost* and elevated blank verse.,"Grand, elevated literary style",Literature,Original entry,Review,Original master,Existing
292,Chaucerian,Geoffrey Chaucer,English poet,Pertaining to Middle English literature and *The Canterbury Tales*.,Relating to Chaucer,Literature,Original entry,Review,Original master,Existing
293,Swiftian,Jonathan Swift,Irish satirist,Sharp political and social satire modeled on *Gulliver's Travels*.,Bitingly satirical,Literature,Original entry,Review,Original master,Existing
294,Byronic,Lord Byron,English poet,"Romantic, rebellious, melancholic hero archetype.",Darkly charismatic,Literature,Original entry,Review,Original master,Existing
295,Kafka Trap,Franz Kafka,Writer,Modern expression describing situations where denial itself is treated as evidence of guilt.,Self-validating accusation,Literature/Philosophy,Original entry,Review,Original master,Existing
296,Quixotic,Don Quixote,Cervantes' fictional knight,Pursued noble ideals despite obvious impracticality.,Impractically idealistic,Literature,Original entry,Review,Original master,Existing
297,Scrooge,Ebenezer Scrooge,Dickens character,Miser transformed through moral awakening.,Miserly person,Literature,Original entry,Review,Original master,Existing
298,Pollyanna,Pollyanna,Eleanor H. Porter's heroine,Character known for relentless optimism.,Excessively optimistic person,Literature,Original entry,Review,Original master,Existing
299,Lothario,Lothario,Character in *The Fair Penitent*,Charming seducer of women.,Womanizer,Literature,Original entry,Review,Original master,Existing
300,Casanova,Giacomo Casanova,Venetian adventurer,Famous for numerous romantic affairs documented in his memoirs.,Seductive man,History,Original entry,Review,Original master,Existing
301,Romeo,Romeo Montague,Shakespeare character,Archetypal passionate young lover.,Romantic male lover,Literature,Original entry,Review,Original master,Existing
302,Don Juan,Legendary libertine,Spanish literary character,Became the universal symbol of a seducer.,Habitual seducer,Literature,Original entry,Review,Original master,Existing
303,Svengali,Svengali,Character in *Trilby*,Manipulated others through psychological domination.,Controlling mentor,Literature,Original entry,Review,Original master,Existing
304,Gargantuan,Gargantua,Giant in Rabelais' novels,Famous for enormous appetite and size.,Enormous,Literature,Original entry,Review,Original master,Existing
305,Panglossian,Dr. Pangloss,Voltaire's *Candide*,Absurdly optimistic philosopher believing everything happens for the best.,Naively optimistic,Literature,Original entry,Review,Original master,Existing
306,Rip Van Winkle,Washington Irving character,Slept for twenty years and awoke to a changed world.,Someone unaware of current events,Literature,,Original entry,Review,Original master,Existing
307,Sherlockian,Sherlock Holmes,Conan Doyle detective,Characterized by keen observation and deductive reasoning.,Highly analytical,Literature,Original entry,Review,Original master,Existing
308,Watsonian,Dr. Watson,Holmes' companion,Explanation from within a fictional universe.,In-universe explanation,Literature,Original entry,Review,Original master,Existing
309,Moriarty,Professor Moriarty,Holmes' adversary,Criminal mastermind opposing the detective.,Mastermind villain,Literature,Original entry,Review,Original master,Existing
310,Hobbesian,Thomas Hobbes,English philosopher,Belief in strong centralized authority to prevent chaos.,Relating to Hobbes,Philosophy,Original entry,Review,Original master,Existing
311,Lockean,John Locke,English philosopher,Emphasized natural rights and government by consent.,Liberal political philosophy,Philosophy,Original entry,Review,Original master,Existing
312,Rousseauian,Jean-Jacques Rousseau,French philosopher,"Advocated the ""general will"" and natural human goodness.",Romantic naturalism,Philosophy,Original entry,Review,Original master,Existing
313,Confucian,Confucius,Chinese philosopher,"Ethics emphasizing duty, family, and education.",Relating to Confucian philosophy,Philosophy,Original entry,Review,Original master,Existing
314,Taoist,Laozi,Chinese philosopher,"Based on harmony with the Tao (""the Way"").",Following Taoism,Philosophy,Original entry,Review,Original master,Existing
315,Buddhist,Gautama Buddha,Religious teacher,Teachings centered on the Four Noble Truths and Eightfold Path.,Relating to Buddhism,Religion,Original entry,Review,Original master,Existing
316,Christian,Jesus Christ,Founder of Christianity,Followers identified with Christ.,Relating to Christianity,Religion,Original entry,Review,Original master,Existing
317,Mohammedan *(historical)*,Prophet Muhammad,Historical English term,"Former English term for Muslims; now considered outdated because Muslims worship God, not Muhammad.",Historical usage only,Religion,Original entry,Review,Original master,Existing
318,Lutheran,Martin Luther,German reformer,Originated during the Protestant Reformation.,Protestant denomination,Religion,Original entry,Review,Original master,Existing
319,Calvinist,John Calvin,French theologian,Emphasized predestination and divine sovereignty.,Protestant theology,Religion,Original entry,Review,Original master,Existing
320,Wesleyan,John Wesley,English theologian,Founder of Methodism emphasizing personal holiness.,Relating to Methodism,Religion,Original entry,Review,Original master,Existing
321,Benedictine,St. Benedict,Christian monk,Monastic order following the Rule of St. Benedict.,Monastic order,Religion,Original entry,Review,Original master,Existing
322,Dominican,St. Dominic,Spanish priest,Founded the Order of Preachers.,Religious order,Religion,Original entry,Review,Original master,Existing
323,Franciscan,St. Francis of Assisi,Italian saint,"Order emphasizing poverty, simplicity, and charity.",Religious order,Religion,Original entry,Review,Original master,Existing
324,Jesuit,Ignatius of Loyola,Spanish priest,Society of Jesus devoted to education and missionary work.,Member of the Society of Jesus,Religion,Original entry,Review,Original master,Existing
325,Augustinian,St. Augustine,Christian theologian,Philosophy and theology derived from Augustine's writings.,Relating to Augustine,Theology,Original entry,Review,Original master,Existing
326,Thomistic,Thomas Aquinas,Medieval philosopher,Scholastic philosophy integrating Aristotle with Christian theology.,Philosophy of Aquinas,Theology,Original entry,Review,Original master,Existing
327,Machiavellian,Niccolò Machiavelli,Italian political philosopher,"*The Prince* advocated pragmatic, often ruthless statecraft.","Cunning, manipulative politics",Politics,Original entry,Review,Original master,Existing
328,Quisling,Vidkun Quisling,Norwegian politician,Collaborated with Nazi Germany during WWII.,Traitor; collaborator,History,Original entry,Review,Original master,Existing
329,Boycott,Charles Boycott,Irish land agent,Ostracized by Irish tenants during the Land War.,Organized refusal to deal with someone,History,Original entry,Review,Original master,Existing
330,Lynching,William Lynch* (traditional attribution),Virginia landowner (attribution debated),"The term likely derives from extrajudicial punishment associated with ""Lynch's Law.""",Mob execution without trial,History,Original entry,Review,Original master,Existing
331,Gerrymander,Elbridge Gerry,Governor of Massachusetts,Approved an oddly shaped electoral district resembling a salamander.,Manipulation of electoral boundaries,Politics,Original entry,Review,Original master,Existing
332,Silhouette,Étienne de Silhouette,French finance minister,Cheap profile portraits mocked his austere economic policies.,Outline profile image,Art,Original entry,Review,Original master,Existing
333,Maverick,Samuel Maverick,Texas rancher,"Refused to brand his cattle, making them identifiable as independent.",Independent-minded person,American History,Original entry,Review,Original master,Existing
334,Guillotine,Joseph-Ignace Guillotin,French physician,Promoted a standardized execution device during the French Revolution.,Execution machine,History,Original entry,Review,Original master,Existing
335,Leotard,Jules Léotard,French trapeze artist,Performed wearing the close-fitting garment that now bears his name.,One-piece athletic garment,Clothing,Original entry,Review,Original master,Existing
336,Cardigan,"James Brudenell, 7th Earl of Cardigan",British general,Officers wore knitted jackets during the Crimean War.,Knitted sweater,Clothing,Original entry,Review,Original master,Existing
337,Wellington,Duke of Wellington,British general,Popularized riding boots later adapted as waterproof boots.,Waterproof boot,Clothing,Original entry,Review,Original master,Existing
338,Raglan,Lord Raglan,British field marshal,Sleeve style designed to accommodate his amputated arm.,Sleeve design,Clothing,Original entry,Review,Original master,Existing
339,Hoover,William Henry Hoover,American businessman,Vacuum cleaner brand became generic in the UK.,Vacuum cleaner,Household,Original entry,Review,Original master,Existing
340,Xerox,Xerox Corporation,Company,Brand became synonymous with photocopying.,Photocopy,Business,Original entry,Review,Original master,Existing
341,Kleenex,Kimberly-Clark brand,Company,Facial tissue brand became generic.,Facial tissue,Business,Original entry,Review,Original master,Existing
342,Thermos,Thermos GmbH,Company,Vacuum flask brand became generic in many countries.,Vacuum flask,Business,Original entry,Review,Original master,Existing
343,Escalator,Otis Elevator Co. (original trademark),Company,Trademark eventually became generic.,Moving staircase,Engineering,Original entry,Review,Original master,Existing
344,Aspirin,Bayer (brand),Company,Trademark became generic in many jurisdictions.,Acetylsalicylic acid,Medicine,Original entry,Review,Original master,Existing
345,Yo-Yo,Duncan Toys (popularized),Company,Trademark became generic in the U.S.,Toy,Toys,Original entry,Review,Original master,Existing
346,Frisbee,Wham-O,Company,Flying disc originally marketed under the brand.,Flying disc,Toys,Original entry,Review,Original master,Existing
347,Ping-Pong,Parker Brothers,Company,Trademark for table tennis.,Table tennis,Sports,Original entry,Review,Original master,Existing
348,Velcro,Velcro Companies,Company,Hook-and-loop fastener brand.,Hook-and-loop fastening,Household,Original entry,Review,Original master,Existing
349,Google (verb),Google,Technology company,"Brand name evolved into a verb meaning ""search online.""",Search the internet,Computing,Original entry,Review,Original master,Existing
350,Photoshop (verb),Adobe Photoshop,Software,Program name became synonymous with digital image editing.,Digitally alter an image,Computing,Original entry,Review,Original master,Existing
351,Jacuzzi Effect,Candido Jacuzzi,Inventor,Whirlpool technology became associated with relaxation and hydrotherapy.,Spa-like massage,Engineering,Original entry,Review,Original master,Existing
352,Sisyphusian *(variant)*,Sisyphus,Mythological king,Alternate adjective occasionally used instead of *Sisyphean*.,"Futile, repetitive effort",Greek Mythology,Original entry,Review,Original master,Existing
353,Draconian,Draco,Athenian lawgiver,Extremely severe legal code.,Excessively harsh,Ancient Greece,Original entry,Review,Original master,Existing
354,Solomonic,King Solomon,Biblical king,Celebrated for wisdom and fair judgment.,Wise and balanced,Biblical,Original entry,Review,Original master,Existing
355,Judaic,Judah,Son of Jacob,Refers to Jewish tradition and heritage.,Relating to Judaism,Biblical,Original entry,Review,Original master,Existing
356,Aaronic,Aaron,Brother of Moses,Pertains to the hereditary priesthood descended from Aaron.,Priestly,Biblical,Original entry,Review,Original master,Existing
357,Mosaic,Moses,Biblical prophet,Pertaining to Mosaic Law or the teachings of Moses.,Relating to Moses,Biblical,Original entry,Review,Original master,Existing
358,Davidic,King David,Biblical king,Refers to the royal lineage of David.,Pertaining to David or his dynasty,Biblical,Original entry,Review,Original master,Existing
359,Goliath,Goliath,Philistine giant,Defeated by David despite overwhelming size.,Giant opponent,Biblical,Original entry,Review,Original master,Existing
360,Job-like,Job,Biblical figure,Endured immense suffering while remaining faithful.,Exceptionally patient under suffering,Biblical,Original entry,Review,Original master,Existing
361,Judas,Judas Iscariot,Disciple of Jesus,Betrayed Jesus for thirty pieces of silver.,Betrayer,Biblical,Original entry,Review,Original master,Existing
362,Samaritan,Good Samaritan,Biblical parable,Stranger who compassionately aided an injured traveler.,"Helpful, charitable person",Biblical,Original entry,Review,Original master,Existing
363,Benedict Arnold,Benedict Arnold,American general,Defected to the British during the American Revolution.,Traitor,American History,Original entry,Review,Original master,Existing
364,Juliet Balcony,Juliet,Shakespeare character,Balcony scene became symbolic of romance.,Romantic balcony,Literature,Original entry,Review,Original master,Existing
365,Frankenstein,Victor Frankenstein,Mary Shelley's scientist,The creator's name is often mistakenly applied to the monster.,Creator of something dangerous,Literature,Original entry,Review,Original master,Existing
366,Atlas,Atlas,Titan,Condemned to support the heavens forever.,Book of maps,Greek Mythology,Original entry,Review,Original master,Existing
367,Achilles' Heel,Achilles,Greek warrior,His only vulnerable point.,Fatal weakness,Greek Mythology,Original entry,Review,Original master,Existing
368,Hygieia,Hygieia,Goddess of health,Associated with disease prevention and cleanliness.,"Source of ""hygiene""",Greek Mythology,Original entry,Review,Original master,Existing
369,Thanatos,Thanatos,Personification of death,"Inspired medical term ""thanatology.""",Death,Greek Mythology,Original entry,Review,Original master,Existing
370,Titanic,Titans,Greek primordial gods,Enormous size associated with the Titans.,Massive; gigantic,Greek Mythology,Original entry,Review,Original master,Existing
371,Olympian,Mount Olympus,Home of Greek gods,"Associated with greatness, calmness, or elite competition.",Majestic; relating to the Olympics,Greek Mythology,Original entry,Review,Original master,Existing
372,Amazon,Amazons,Mythical warrior women,Tribe of female warriors in Greek mythology.,Powerful female warrior; company name,Greek Mythology,Original entry,Review,Original master,Existing
373,Spartan,Sparta,Greek city-state,Famous for discipline and austere lifestyle.,Austere; disciplined,Ancient Greece,Original entry,Review,Original master,Existing
374,Corinthian,Corinth,Ancient Greek city,Renowned for ornate architecture and capitals.,Ornate architectural style,Architecture,Original entry,Review,Original master,Existing
375,Ionic,Ionia,Ancient Greek region,One of the classical Greek architectural orders.,Architectural style,Architecture,Original entry,Review,Original master,Existing
376,Doric,Dorians,Ancient Greek people,Simplest classical column order.,Architectural style,Architecture,Original entry,Review,Original master,Existing
377,Corinthian Order,Corinth,Greek city,Most elaborate classical architectural order.,Architectural column style,Architecture,Original entry,Review,Original master,Existing
